Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,67.5000000000,µg/m3,2022-01-03 11:00:00 +01:00,2022-01-03 12:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,69.0000000000,µg/m3,2022-01-03 12:00:00 +01:00,2022-01-03 13:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,72.5000000000,µg/m3,2022-01-03 13:00:00 +01:00,2022-01-03 14:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,72.0000000000,µg/m3,2022-01-03 14:00:00 +01:00,2022-01-03 15:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,68.5000000000,µg/m3,2022-01-03 15:00:00 +01:00,2022-01-03 16:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,68.0000000000,µg/m3,2022-01-03 16:00:00 +01:00,2022-01-03 17:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,55.0000000000,µg/m3,2022-01-03 17:00:00 +01:00,2022-01-03 18:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,50.5000000000,µg/m3,2022-01-03 18:00:00 +01:00,2022-01-03 19:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,56.5000000000,µg/m3,2022-01-03 19:00:00 +01:00,2022-01-03 20:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,61.5000000000,µg/m3,2022-01-03 20:00:00 +01:00,2022-01-03 21:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,62.5000000000,µg/m3,2022-01-03 21:00:00 +01:00,2022-01-03 22:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,69.5000000000,µg/m3,2022-01-03 22:00:00 +01:00,2022-01-03 23:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,,µg/m3,2022-01-01 02:00:00 +01:00,2022-01-01 03:00:00 +01:00,-1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,72.0000000000,µg/m3,2022-01-03 23:00:00 +01:00,2022-01-04 00:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,73.5000000000,µg/m3,2022-01-04 00:00:00 +01:00,2022-01-04 01:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,73.5000000000,µg/m3,2022-01-04 01:00:00 +01:00,2022-01-04 02:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,71.5000000000,µg/m3,2022-01-04 02:00:00 +01:00,2022-01-04 03:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,69.5000000000,µg/m3,2022-01-04 03:00:00 +01:00,2022-01-04 04:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,71.5000000000,µg/m3,2022-01-04 04:00:00 +01:00,2022-01-04 05:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,69.0000000000,µg/m3,2022-01-04 05:00:00 +01:00,2022-01-04 06:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,62.5000000000,µg/m3,2022-01-04 06:00:00 +01:00,2022-01-04 07:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,63.0000000000,µg/m3,2022-01-04 07:00:00 +01:00,2022-01-04 08:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,58.0000000000,µg/m3,2022-01-04 08:00:00 +01:00,2022-01-04 09:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,59.0000000000,µg/m3,2022-01-04 09:00:00 +01:00,2022-01-04 10:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,62.0000000000,µg/m3,2022-01-04 10:00:00 +01:00,2022-01-04 11:00:00 +01:00,1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,,µg/m3,2022-01-03 03:00:00 +01:00,2022-01-03 04:00:00 +01:00,-1,3
BE,BE.CELINE-IRCEL.AQ,NET-Flanders,STA-BETN052,BETN052,SPO-BETN052_00007_100,SPP-BETN052_00007_1,,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,,µg/m3,2022-01-04 11:00:00 +01:00,2022-01-04 12:00:00 +01:00,-1,3
